date_mesure;code_bss;urn_bss;timestamp_mesure;niveau_nappe_eau;mode_obtention;statut;qualification;code_continuite;nom_continuite;code_producteur;nom_producteur;code_nature_mesure;nom_nature_mesure;profondeur_nappe
2021-09-20;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1632096000000;72.28;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.87
2021-09-19;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1632031200000;72.3;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.85
2021-09-18;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1631930400000;72.32;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.83
2021-09-17;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1631858400000;72.33;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.82
2021-09-16;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1631757600000;72.35;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.8
2021-09-15;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1631671200000;72.37;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.78
2021-09-14;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1631577600000;72.39;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.76
2021-09-13;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1631566800000;72.39;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.76
2021-09-12;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1631415600000;72.41;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.74
2021-09-11;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1631322000000;72.43;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.72
2021-09-10;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1631250000000;72.45;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.7
2021-09-09;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1631149200000;72.47;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.68
2021-09-08;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1631134800000;72.47;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.68
2021-09-07;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1631008800000;72.47;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.68
2021-09-06;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1630897200000;72.49;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.66
2021-09-05;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1630814400000;72.51;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.64
2021-09-04;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1630742400000;72.52;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.63
2021-09-03;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1630630800000;72.53;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.62
2021-09-02;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1630544400000;72.54;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.61
2021-09-01;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1630461600000;72.55;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.6
2021-08-31;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1630368000000;72.58;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.57
2021-08-30;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1630292400000;72.6;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.55
2021-08-29;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1630206000000;72.61;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.54
2021-08-28;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1630137600000;72.62;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.53
2021-08-27;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1630022400000;72.64;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.51
2021-08-26;00487X0015/S1;http://services.ades.eaufrance.fr/pointeau/00487X0015/S1;1629982800000;72.65;Valeur mesurée;Donnée contrôlée niveau 1;Correcte;2;Point lié au point précédent;265;Service Géologique Régional Nord - Pas de Calais (265);;;29.5
