date	piezo	pluie	etp	debit
01/01/2004	9999	-2	0.1	0.42
02/01/2004	9999	-2	0.7	0.36
03/01/2004	9999	-2	0.2	0.31
04/01/2004	9999	-2	0	0.3
05/01/2004	9999	-2	0.1	0.3
06/01/2004	9999	-2	0.1	0.29
07/01/2004	9999	-2	0.3	0.3
08/01/2004	9999	-2	0.7	0.62
09/01/2004	9999	-2	0.4	0.44
10/01/2004	9999	-2	0.1	0.37
11/01/2004	9999	-2	0.3	0.46
12/01/2004	9999	-2	0.2	0.73
13/01/2004	9999	-2	0	1.06
14/01/2004	9999	-2	0.2	0.94
15/01/2004	9999	-2	0.1	0.88
16/01/2004	9999	-2	0.4	1.13
17/01/2004	9999	-2	0	1.06
18/01/2004	9999	-2	0.7	0.97
19/01/2004	9999	-2	0	0.86
20/01/2004	9999	-2	0.2	0.8
21/01/2004	9999	-2	0.4	0.75
22/01/2004	9999	-2	0.3	0.75
23/01/2004	9999	-2	0.1	0.79
24/01/2004	9999	-2	0.6	0.79
25/01/2004	9999	-2	0.4	0.73
26/01/2004	9999	-2	0.3	1.27
27/01/2004	9999	-2	0.5	1.13
28/01/2004	9999	-2	0.7	0.99
29/01/2004	9999	-2	0.9	0.94
30/01/2004	9999	-2	0.6	0.86
31/01/2004	9999	-2	0.6	1.12
01/02/2004	9999	-2	0.8	1.06
02/02/2004	9999	-2	0.9	0.96
03/02/2004	9999	-2	1.8	0.88
04/02/2004	9999	-2	2.2	0.83
05/02/2004	9999	-2	0.8	0.78
06/02/2004	9999	-2	0.7	0.74
07/02/2004	9999	-2	1	0.7
08/02/2004	9999	-2	1.1	0.66
09/02/2004	9999	-2	0.9	0.62
10/02/2004	9999	-2	1	0.6
11/02/2004	9999	-2	0.3	0.59
12/02/2004	9999	-2	0.5	0.58
13/02/2004	9999	-2	0.8	0.57
14/02/2004	9999	-2	0.6	0.57
15/02/2004	9999	-2	0.7	0.55
16/02/2004	9999	-2	0.5	0.54
17/02/2004	9999	-2	0.6	0.53
18/02/2004	9999	-2	1	0.53
19/02/2004	9999	-2	1.5	0.52
20/02/2004	9999	-2	1	0.51
21/02/2004	9999	-2	0.5	0.58
22/02/2004	9999	-2	0.6	0.57
23/02/2004	9999	-2	1.5	0.51
24/02/2004	9999	-2	1	0.48
25/02/2004	9999	-2	0.7	0.49
26/02/2004	9999	-2	0.7	0.49
27/02/2004	9999	-2	0.5	0.51
28/02/2004	9999	-2	0.6	0.49
29/02/2004	9999	-2	0.7	0.49
01/03/2004	9999	-2	1	0.48
02/03/2004	9999	-2	1.6	0.45
03/03/2004	9999	-2	0.7	0.5
04/03/2004	9999	-2	0.2	0.88
05/03/2004	9999	-2	0.5	0.71
06/03/2004	9999	-2	1.2	0.6
07/03/2004	9999	-2	1.2	0.52
08/03/2004	9999	-2	1.4	0.5
09/03/2004	9999	-2	1	0.48
10/03/2004	9999	-2	1.3	0.46
11/03/2004	9999	-2	0.9	0.46
12/03/2004	9999	-2	0.6	0.51
13/03/2004	9999	-2	1.5	0.5
14/03/2004	9999	-2	0.3	0.52
15/03/2004	9999	-2	0.7	0.53
16/03/2004	9999	-2	2.4	0.47
17/03/2004	9999	-2	1.5	0.44
18/03/2004	9999	-2	1.7	0.43
19/03/2004	9999	-2	0.3	0.46
20/03/2004	9999	-2	0.6	0.5
21/03/2004	9999	-2	2	0.59
22/03/2004	9999	-2	1.5	0.61
23/03/2004	9999	-2	1.3	0.56
24/03/2004	9999	-2	1.2	0.58
25/03/2004	9999	-2	1.5	0.51
26/03/2004	9999	-2	1.5	0.49
27/03/2004	9999	-2	0.6	0.47
28/03/2004	9999	-2	1.8	0.46
29/03/2004	9999	-2	2.4	0.44
30/03/2004	9999	-2	2.9	0.44
31/03/2004	9999	-2	2.1	0.44
01/04/2004	9999	-2	1.3	0.47
02/04/2004	9999	-2	1.9	0.46
03/04/2004	9999	-2	1.2	0.45
04/04/2004	9999	-2	2.4	0.51
05/04/2004	9999	-2	1.6	0.44
06/04/2004	9999	-2	2.2	0.45
07/04/2004	9999	-2	2.1	0.42
08/04/2004	9999	-2	1.8	0.4
09/04/2004	9999	-2	2	0.41
10/04/2004	9999	-2	0.9	0.39
11/04/2004	9999	-2	2.4	0.38
12/04/2004	9999	-2	2.4	0.37
13/04/2004	9999	-2	2.2	0.36
14/04/2004	9999	-2	2.4	0.36
15/04/2004	9999	-2	2.9	0.37
16/04/2004	9999	-2	2.7	0.37
17/04/2004	9999	-2	2.2	0.36
18/04/2004	9999	-2	1.3	0.51
19/04/2004	9999	-2	1.5	0.51
20/04/2004	9999	-2	0.9	0.43
21/04/2004	9999	-2	2.2	0.45
22/04/2004	9999	-2	3	0.39
23/04/2004	9999	-2	3.1	0.35
24/04/2004	9999	-2	3.5	0.33
25/04/2004	9999	-2	3.9	0.31
26/04/2004	9999	-2	4	0.3
27/04/2004	9999	-2	1.2	0.32
28/04/2004	9999	-2	0.4	0.54
29/04/2004	9999	-2	0.6	0.54
30/04/2004	9999	-2	0.6	0.81
